Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20213644,8434,Westende,flat-studio,for-sale,149000149000,,35.0,,1.0,Yes,,Good,,10.0,8.0,1972.0,235.0,C,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/flat-studio/for-sale/westende/8434/20213644
20216064,9700,Oudenaarde,apartment,for-sale,215000215000,,80.0,2.0,1.0,,Hyper equipped,Just renovated,2.0,3.0,1.0,1970.0,107.0,B,Non flood zone,,,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20216064
20213642,8434,Westende,apartment,for-sale,218000218000,,59.0,1.0,2.0,No,,Good,,3.0,,1978.0,344.0,D,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20213642
20192851,1040,Etterbeek,apartment,for-sale,250000250000,,60.0,1.0,1.0,No,Not installed,Good,2.0,3.0,,1953.0,609.0,G,Non flood zone,,30.0,No,No,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20192851
20217598,9000,Gent,apartment,for-sale,370000370000,,78.0,2.0,1.0,,Hyper equipped,,4.0,2.0,,2024.0,,A,,112.0,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20217598
20213639,8430,Middelkerke,apartment,for-sale,275000275000,,280.0,,,No,,To renovate,,10.0,1.0,1974.0,318.0,D,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20213639
20243434,7500,Tournai,farmhouse,for-sale,15000001500000,1800.0,900.0,5.0,5.0,,Hyper equipped,Just renovated,4.0,,,,109.0,B,Non flood zone,,,Yes,,,Not a public sale,,https://www.immoweb.be/en/classified/farmhouse/for-sale/tournai/7500/20243434
20243896,8820,Torhout,penthouse,for-sale,329000329000,,100.0,2.0,,,Installed,Good,,,3.0,2001.0,197.0,B,Non flood zone,,6.0,No,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/penthouse/for-sale/torhout/8820/20243896
20243427,8930,Rekkem,house,for-sale,229000229000,420.0,114.0,3.0,1.0,No,Installed,Good,2.0,,,,399.0,D,Non flood zone,300.0,,No,No,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/rekkem/8930/20243427
20243429,7520,Tournai Templeuve,farmhouse,for-sale,15000001500000,1800.0,900.0,5.0,5.0,,Hyper equipped,Just renovated,4.0,,,,109.0,B,Non flood zone,,,Yes,,,Not a public sale,,https://www.immoweb.be/en/classified/farmhouse/for-sale/tournai%20templeuve/7520/20243429
20243419,2140,Borgerhout,apartment,for-sale,175000175000,,99.0,2.0,1.0,,Semi equipped,To be done up,2.0,6.0,4.0,1974.0,117.0,B,Recognized flood zone,,,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20243419
20218388,8500,Kortrijk,house,for-sale,345000345000,,180.0,3.0,1.0,,Semi equipped,To be done up,3.0,,,,385.0,D,Non flood zone,70.0,30.0,,,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20218388
20243412,9120,Beveren,house,for-sale,575000575000,501.0,239.0,5.0,1.0,,Installed,Good,3.0,,,1953.0,552.0,F,Non flood zone,,,,No,12,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/beveren/9120/20243412
20243408,3001,Leuven,house,for-sale,560000560000,645.0,127.0,2.0,1.0,,Hyper equipped,Good,4.0,3.0,,1968.0,269.0,C,,518.0,,No,No,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/leuven/3001/20243408
